"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Verify HomePage","","0","0","4","0","0"
"","Interaction With web element","","0","2","1","0","0"
"","wait for delete button","","0","0","1","0","0"
"","scroll to element","","0","0","2","0","0"
"","Button Enable/Disable","","0","0","9","0","0"
"","LoginPage","","0","1","0","0","0"
"","","","0","2","0","0","0"
"","Smoke test ","","0","0","3","0","0"
"","Blaze page Navbar","","0","0","2","0","0"
"","login","","0","3","7","1","0"
"","Login functionality","","0","1","0","0","0"
"","handle alert pop ups","","0","1","1","0","0"
"","drag drop action feature","","0","0","2","0","0"
"","Google Search","","0","0","2","0","0"
"","Interacting With Elements","","0","0","1","0","0"
""," Search","","0","1","1","0","0"
"","My Login application","","0","0","1","0","0"
"","checking dragdrop functionality","","0","0","2","0","0"
"","Home Page elements handle","","0","0","1","0","0"
